restaurant_id,date,review_id,stars,text,Sentiment
tr858,8/25/2014,revtrain20248,3,"Way too expensive for the quality & quantity of food you get. I had purchased a groupon & we went last Friday. The place was not very busy which was surprising for a Friday night but according to some of the other yelp reviews, not unusual. 

We ordered the calamari & fried artichokes for our appetizers. The calamari was $13 & the portion was tiny. The fried artichokes were either canned or jarred artichokes which I could not believe. At a restaurant like that, it's completely ridiculous to use any kind of canned ingredients. My husband got the veal with mushrooms & I got one of their specials, Chilean Sea Bass. My husbands veal was nothing special & the sauce had a weird texture to it. My sea bass was good but the accompanying side of orzo with different veggies in some type of sauce was very boring & unimaginative. 

Very forgettable meal & we won't be going back. I can think of at least 3 other Italian restaurants that blow this place out of the water.",positive
tr858,8/29/2014,revtrain20249,4,"I really enjoyed this restaurant. The service was great, and the woman serving us was beyond friendly and helpful. Their garlic bites are amazing, and they have a pretty extensive menu. The dish I ordered was great, and you get quite a bit for your money, with the main dishes at least. Also got a canoli to take home, and it was delicious as well. 

Definitely recommend it.",positive
tr858,9/29/2014,revtrain20250,5,"I went here with a groupon on a Monday night and it was a ghost town. Idk y because this place was the bizzzz!!! My cioppino was perfect, my fianc?? s vongole was delish,  the carppacio was divine.  They had great customer service and super helpful with the menu...I love this place!!!",positive
tr858,10/1/2014,revtrain20251,2,"Pretty good service, friendly staff, not all that comfortable and the sauce is very acidic and a weird texture to it.  Just not what I thought it would be, tried it a second time and decided it was not for me.",negative
tr858,10/15/2014,revtrain20252,1,"The owners of this establishment are the strangest, most bizarre I've ever seen they watch you from a distance and they yelled at my date telling her that she did not know how to eat her food properly because she asked for crushed red pepper. I would eat there much more if they weren't so rude. 



Also, another experience I had there when a friend had a Groupon you could tell the lady owner was not happy and we even presented the coupon before we ordered, as if that should make any difference on how they prepare it.



I've never felt a more bizarre dynamic in a food establishment in my life.",negative
tr858,11/2/2014,revtrain20253,2,"When you first walk into the restaurant, you're not even welcomed. You're stared at and then the guy asks if he can help you. We were there for a birthday dinner and we were still waiting for a few guests to show up. We asked to have some bread and the waiter rudely says that we need to order dinner before we get any bread. I've never heard of that before! Why would we be there for a birthday reservation and not order dinner?! So then the waiter says that he'll be back when the rest of our party shows up. When the last person got there he came and rambled off the specials very fast and we barely saw him the rest of the night. The other reviews are true when they say the owners seem to stand in the corner and stare at you. 



The food was ok, nothing special. It took FOREVER to come. Then we waited forever to get our check. The waiter never offered us drinks. We were only served water. Maybe if we had gotten some bread early on we would have ordered wine to go with it. 



Maybe this place should treat all their new guests as well as they seemed to cater to their regulars. Definitely not going back.",negative
tr858,11/3/2014,revtrain20254,1,It is way too expensive and they are not very generous when it comes to customer service.  I won't go back...,negative
tr858,11/8/2014,revtrain20255,2,"The food was good but the hostess who I believe is one of the owners was rude. We had our two kids and she gave them each a twisty toy but when we asked if they had kids menu she said ""no this is a fine dining restaurant,"" in a smug way. It's not fine dining if you have to tell people it's fine dining. We actually dine out at fine restaurants often and they cater to children just fine. She was condescending in implying that a fine dining restaurant wouldn't offer a kids menu. I hardly ever write reviews but i thought she was rude and it would have been fine if she had just said they didnt have a kids menu but to imply that such a nice restaurant would never offer such a thing was just plain rude, especially when she doesn't know what she's talking about. The waiter took a long time to come take our order. I finished my plate and they didn't pre-bus the table and take my plate away. We will not return.",negative
tr858,12/2/2014,revtrain20256,5,Beyond amazing !!!!!!!! A must try over and over again,positive
tr858,12/4/2014,revtrain20257,5,"Great beautiful low lit romantic atmosphere!  Great staff.  The owner is still wandering around every night, Im not sure that is necessary, however the food is always excellent and the prices are great as well.  Happy hour at the bar is nice as well",positive
tr858,12/6/2014,revtrain20258,5,"This place is amazing!!!   Family-owned and you meet almost the whole family.   The food is divine, the wine....so fine!   Couldn't recommend a better Italian spot in LV!",positive
tr858,12/21/2014,revtrain20259,1,"I am adding my comments to tag with JANET N'S comment on 12/21/14, I was  the person who brought the Groupon. Had the Waiter taken our coupons when we offered them to him at the beginning of service, we all could have avoided the embarrassment and humiliation we endured.  The so called Mrs. Manager /Hostess was rude, and both Mgr. and Waiter continued to act inappropriately by returning to our table to voice their opinions to us. In addition, the Waiter placed an 18% service charge (mind you we are only a party of 4) on our check, assuming that he deserved it. Two more negatives: 1). The 7 up we ordered, was never replaced as the BAR ran out of 7 up-it was 5 pm when the restaurant opened that they ran out of soda?  2). The restaurant did not serve fresh grated Parmesan cheese. That was shocking considering the price point and the theme of the restaurant indicating Italian food served.  Not a great Christmas Dinner experience!",negative
tr858,12/26/2014,revtrain20260,1,"They HATE coupons here ... had a restaurant.com coupon and drove 30 minutes on Christmas Eve just to try this place and on the door of their restaurant they had a ""no coupons tonight"" sign posted.



Sure would have been nice to know before wasting an hour of my time to drive there. Their prices are outrageous for the portions, too. 



Don't waste your time - go somewhere else that VALUES its customers.",negative
