SeqA,SeqB
Kopi O,Black Coffee with Sugar
Kopi,Black Coffee with Condensed Milk
Kopi C,Black Coffee with Evaporated Milk
Kopi Kosong,Black Coffee without sugar or milk
Kopi Gah Dai,Black Coffee with extra condensed milk
Kopi Siew Dai,Coffee with Condensed Milk but less sugar
Kopi O Siew Dai,Black Coffee with less sugar
Kopi Po,Coffee with Condensed Milk but weaker (they add more water)
Kopi O Po,Black Coffee with Sugar but weaker (they add more water)
Kopi Gau,Strong Coffee with Condensed Milk
Kopi O Gau,Strong Black Coffee with Sugar
Kopi Peng,Iced Coffee with Condensed Milk
Kopi O Peng,Iced Black Coffee with sugar
Kopi Gau Peng,Strong Iced Coffee with Condensed Milk
Kopi O Gau Peng,Strong Black Coffee with Sugar
Kopi Kosong Peng,Iced black coffee without sugar
Kopi Gau Kosong Peng,Iced Strong Black coffee without Sugar or milk
Kopi,Hot coffee with condensed milk and sugar
Kopi Siew Dai,Hot coffee with condensed milk and lesser sugar
Kopi Ga Dai,Hot coffee with condensed milk and more sugar
Kopi Po,"Hot coffee with condensed milk and sugar, and lesser coffee powder"
Kopi Gau,"Hot coffee with condensed milk and sugar, and more coffee powder"
Kopi Po Siew Dai,Hot coffee with condensed milk and lesser coffee powder and lesser sugar
Kopi Po Ga Dai,Hot coffee with condensed milk and lesser coffee powder and more sugar
Kopi Gau Siew Dai,Hot coffee with condensed milk and more coffee powder and lesser sugar
Kopi Gau Ga Dai,Hot coffee with condensed milk and more coffee powder and more sugar
Kopi Kosong,Hot coffee with condensed milk only
Kopi C,Hot coffee with evaporated milk and sugar
Kopi C Siew Dai,Hot coffee with evaporated milk and lesser sugar
Kopi C Ga Dai,Hot coffee with evaporated milk and more sugar
Kopi C Po,Hot coffee with evaporated milk and lesser coffee powder
Kopi C Gau,Hot coffee with evaporated milk and more coffee powder
Kopi C Po Siew Dai,Hot coffee with evaporated milk and lesser coffee powder and lesser sugar
Kopi C Po Ga Dai,Hot coffee with evaporated milk and lesser coffee powder and more sugar
Kopi C Gau Siew Dai,Hot coffee with evaporated milk and more coffee powder and lesser sugar
Kopi C Gau Ga Dai,Hot coffee with evaporated milk and more coffee powder and more sugar
Kopi C Kosong,Hot coffee with evaporated milk only
Kopi O,Hot black coffee with sugar only
Kopi O Siew Dai,Hot black coffee with lesser sugar
Kopi O Ga Dai,Hot black coffee with more sugar
Kopi O Po,Hot black coffee with lesser coffee powder
Kopi O Gau,Hot black coffee with more coffee powder
Kopi O Po Siew Dai,Hot black coffee with lesser coffee powder and lesser sugar
Kopi O Po Ga Dai,Hot black coffee with lesser coffee powder and more sugar
Kopi O Gau Siew Dai,Hot black coffee with more coffee powder and lesser sugar
Kopi O Gau Ga Dai,Hot black coffee with more coffee powder and more sugar
Kopi O Kosong,Hot black coffee without milk and sugar
Teh,Hot tea with condensed milk and sugar
Teh Siew Dai,Hot tea with condensed milk and lesser sugar
Teh Ga Dai,Hot tea with condensed milk and more sugar
Teh Kosong,Hot tea with condensed milk only
Teh Tarik,Pulled hot tea with condensed milk and sugar
Teh Halia,"Hot tea with condensed milk, sugar and ginger"
Teh C,Hot tea with evaporated milk and sugar
Teh C Siew Dai,Hot tea with evaporated milk and lesser sugar
Teh C Ga Dai,Hot tea with evaporated milk and more sugar
Teh C Kosong,Hot tea with evaporated milk only
Teh C Tarik,Pulled hot tea with evaporated milk and sugar
Teh O,Hot tea with sugar only
Teh O Siew Dai,Hot tea with lesser sugar
